project_id,district,total_land_parcels,acquired_land_parcels,pending_land_parcels,total_landowners,compensation_pending,legal_cases,documents_pending,approval_pending_days,objections_count,survey_completed_percent,current_stage,previous_delay_days,land_pending_percent,delay_status
LA100001,Panchmahal,179,145,34,134,94,4,6,12,6,82.0,Handover,15,18.99,No
LA100002,Sabarkantha,1173,946,227,1345,487,4,12,20,28,83.2,Handover,7,19.35,No
LA100003,Sabarkantha,999,518,481,1239,86,6,13,64,12,72.6,Compensation,18,48.15,Yes
LA100004,Gandhinagar,686,433,253,480,211,7,8,1,13,81.0,Acquisition,42,36.88,Yes
LA100005,Sabarkantha,678,353,325,400,86,1,9,15,6,79.7,Acquisition,5,47.94,No
LA100006,Kheda,1295,722,573,1225,509,2,13,28,12,85.1,Acquisition,18,44.25,No
LA100007,Junagadh,174,86,88,217,60,4,4,59,11,70.7,Compensation,26,50.57,Yes
LA100008,Gandhinagar,1061,612,449,1205,504,4,8,37,16,78.3,Acquisition,5,42.32,No
LA100009,Junagadh,342,88,254,404,139,7,9,12,9,55.1,Objection,48,74.27,Yes
LA100010,Surat,186,88,98,170,101,1,7,8,8,62.9,Compensation,25,52.69,No
LA100011,Morbi,813,363,450,619,183,8,12,11,10,58.8,Objection,6,55.35,No
LA100012,Bharuch,1465,956,509,1507,351,5,7,38,18,77.5,Acquisition,0,34.74,No
LA100013,Mehsana,1117,458,659,820,111,5,11,33,5,62.5,Objection,48,59.0,Yes
LA100014,Rajkot,1154,447,707,1389,114,7,5,50,20,58.4,Objection,0,61.27,Yes
LA100015,Rajkot,1091,611,480,793,431,6,7,8,16,71.8,Compensation,5,44.0,No
LA100016,Rajkot,1190,872,318,966,390,4,10,6,17,77.2,Handover,54,26.72,No
LA100017,Gandhinagar,794,578,216,799,115,5,4,0,9,90.4,Handover,0,27.2,Yes
LA100018,Kheda,235,126,109,232,101,5,9,39,8,82.0,Compensation,37,46.38,No
LA100019,Sabarkantha,1268,617,651,1383,574,3,8,66,12,65.1,Compensation,117,51.34,Yes
LA100020,Rajkot,703,323,380,663,81,6,9,2,16,63.7,Objection,0,54.05,Yes
LA100021,Amreli,776,150,626,1069,412,4,22,45,12,50.1,Notification,0,80.67,Yes
LA100022,Patan,588,381,207,768,280,7,5,0,14,80.6,Acquisition,0,35.2,No
LA100023,Anand,314,121,193,421,33,7,8,6,15,61.0,Compensation,26,61.46,Yes
LA100024,Kheda,1394,966,428,1556,183,7,12,0,20,81.8,Handover,20,30.7,No
